name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	212000	231666469
a1Plus	https://www.youtube.com/c/a1plus/about	173000	203454158
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	672000	840999832
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	188233891
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	115000	95540926
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	52725924
24TV	https://www.youtube.com/c/24TVArmenia/about	155000	156814422
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	151000	94624830
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	284000	363979480
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	140000	89529864
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3450	4298645
1in.am	https://www.youtube.com/c/1inam/about	157000	151265915
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	69700	67604122
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	119000	37504368
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	108000	92471726
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	465000	339296303
5 TV Channel	https://www.youtube.com/c/AraratTv/about	104000	74915202
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	58861438
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	61700	27525041
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	20756793
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	132000	8191333
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	197000	179872297
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	121000	39846660
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	30300	17118124
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	132000	128829097
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14586887
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	80700	47889231
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	87900	24326230
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	94700	37501396
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	164000	133563954
iravabannet	https://www.youtube.com/user/iravabannet/about	25500	17893289
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31500	15659176
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	30700	19058669
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43800	19798182
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	120000	91391509
Tv9 am	https://www.youtube.com/c/Tv9am/about	76200	11464444
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	40500	18545825
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	71500	32711409
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	32300	9948536
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	35500	6684021
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	27500	14863497
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	50800	10770929
Tert. am	https://www.youtube.com/user/tertamarmenia/about	48700	43460965
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	37500	11231141
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	114000	63929163
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51700	28793622
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	70700	94883874
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	42000	15329013
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	80000	998928
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	16100	6214216
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	30900	22384880
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	11800	5426334
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	67700	38963504
Vardan Hakobyan	https://www.youtube.com/c/VardanHakobyan/about	10600	1834931
Խոսենք Փաստերով TV	https://www.youtube.com/channel/UCZuKdeF9yfOjZ0J7AbBUOAw/about	5960	1734567
HetqTV	https://www.youtube.com/user/HetqTV/about	28700	19505862
Artsakh Public TV	https://www.youtube.com/channel/UC0bE8sdgd54oJBscXJfupCw/about	35200	23087321
Yerevan Today Live	https://www.youtube.com/c/YerevanTodayNews/about	27400	21047426
Hraparak TV	https://www.youtube.com/c/Hraparakdaily/about	34700	30212025
Աննա Աբրահամյան Իմ Հայաստան created DON DREAM	https://www.youtube.com/channel/UCuuqSVCWfMlwlwlfXSLIfKg/about	unknown subscriber count	2466353
Yerkir Media - News	https://www.youtube.com/user/YerkirmediaTV/about	36800	32680190
Yerkir Media Հաղորդումներ	https://www.youtube.com/channel/UCLqMTOyTNRVzavjJwZlFSvQ/about	6960	1290368
MenqHayenq Production	https://www.youtube.com/channel/UCUfcIB5azeiUD2egV7p7FEQ/about	61600	15111461
ԼՐԱՏՎԱԿԱՆ ՌԱԴԻՈ FM106.5	https://www.youtube.com/channel/UCaJCNkhSa84QcuOSoM2WfcA/about	39700	22453786
Repat Riarch	https://www.youtube.com/c/RepatRiarch_official/about	39500	4931699
New Channel tv	https://www.youtube.com/channel/UCDOG_qfxSvI-Dv1tkGpo8Dw/about	64900	27415382
HorizonArmenianTV	https://www.youtube.com/user/HorizonArmenianTV/about	23700	8762173
ARM GOOD INFO	https://www.youtube.com/channel/UCenBDno0RFwOg23Kr00kJVg/about	82700	18698562
Politik. am	https://www.youtube.com/c/Politikam2021/about	19200	5610849
armtimes.com	https://www.youtube.com/c/ArmtimesNewspaper/about	33600	33837423
Styop Grigoryan	https://www.youtube.com/user/123pepush/about	17600	8670902
AsekoseTV	https://www.youtube.com/channel/UCmsV3ead5PvSJwp6M6vik-A/about	28700	20250231
Aysor TV	https://www.youtube.com/user/AysorTV/about	21900	14296914
