name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	219000	245198095
a1Plus	https://www.youtube.com/c/a1plus/about	176000	207427505
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	680000	863249281
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	210362381
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	122000	108265015
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	62893429
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	162372261
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	153000	100811018
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	371645706
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	143000	93153242
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3580	4494064
1in.am	https://www.youtube.com/c/1inam/about	157000	151556564
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	75800	78094905
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	123000	41486820
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	110000	95843627
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	478000	351471015
5 TV Channel	https://www.youtube.com/c/AraratTv/about	108000	80281650
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59566478
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	68600	33305662
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	22703437
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	137000	15088643
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	182434773
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	43143832
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	35100	22407370
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	131403778
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26500	14864181
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	82400	49386641
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	92100	28564723
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	95900	38430252
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	169000	136892091
iravabannet	https://www.youtube.com/user/iravabannet/about	25700	18094452
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31700	16086640
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	31700	20108662
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43700	19997143
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	124000	93730522
Tv9 am	https://www.youtube.com/c/Tv9am/about	77200	19269050
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	42900	20886745
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	74700	34594080
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33300	10220994
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	39200	9420537
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	31300	18034852
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	52600	11908500
Tert. am	https://www.youtube.com/user/tertamarmenia/about	50000	44223178
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	39600	12326238
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	122000	70389377
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51900	29122510
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	71500	95654361
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	41700	15377506
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	81300	2178751
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	18400	7291125
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	31000	21823561
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	12300	5846134
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	69500	39978347
Vardan Hakobyan	https://www.youtube.com/c/VardanHakobyan/about	10700	1891270
Խոսենք Փաստերով TV	https://www.youtube.com/channel/UCZuKdeF9yfOjZ0J7AbBUOAw/about	5950	1745453
HetqTV	https://www.youtube.com/user/HetqTV/about	29600	19891673
Artsakh Public TV	https://www.youtube.com/channel/UC0bE8sdgd54oJBscXJfupCw/about	35600	23224740
Yerevan Today Live	https://www.youtube.com/c/YerevanTodayNews/about	27500	21199338
Hraparak TV	https://www.youtube.com/c/Hraparakdaily/about	35400	30956949
Աննա Աբրահամյան Իմ Հայաստան created DON DREAM	https://www.youtube.com/channel/UCuuqSVCWfMlwlwlfXSLIfKg/about	unknown subscriber count	2751664
Yerkir Media - News	https://www.youtube.com/user/YerkirmediaTV/about	37200	32876162
Yerkir Media Հաղորդումներ	https://www.youtube.com/channel/UCLqMTOyTNRVzavjJwZlFSvQ/about	7530	1515395
MenqHayenq Production	https://www.youtube.com/channel/UCUfcIB5azeiUD2egV7p7FEQ/about	64600	14241499
ԼՐԱՏՎԱԿԱՆ ՌԱԴԻՈ FM106.5	https://www.youtube.com/channel/UCaJCNkhSa84QcuOSoM2WfcA/about	41100	22947100
Repat Riarch	https://www.youtube.com/c/RepatRiarch_official/about	39600	4834357
New Channel tv	https://www.youtube.com/channel/UCDOG_qfxSvI-Dv1tkGpo8Dw/about	73700	37705753
HorizonArmenianTV	https://www.youtube.com/user/HorizonArmenianTV/about	24500	8972502
ARM GOOD INFO	https://www.youtube.com/channel/UCenBDno0RFwOg23Kr00kJVg/about	83400	19050488
Politik. am	https://www.youtube.com/c/Politikam2021/about	22200	7745442
armtimes.com	https://www.youtube.com/c/ArmtimesNewspaper/about	33800	34047651
Styop Grigoryan	https://www.youtube.com/user/123pepush/about	18100	9135704
AsekoseTV	https://www.youtube.com/channel/UCmsV3ead5PvSJwp6M6vik-A/about	28900	20278324
Aysor TV	https://www.youtube.com/user/AysorTV/about	22000	14372247
