name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	219000	244897437
a1Plus	https://www.youtube.com/c/a1plus/about	176000	207184988
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	680000	861101752
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	208659845
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	122000	106984932
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	62431364
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	162170361
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	153000	100441691
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	371131233
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	143000	92857087
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3580	4477836
1in.am	https://www.youtube.com/c/1inam/about	157000	151529320
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	75500	77254840
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	123000	40468369
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	110000	95551564
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	478000	350649334
5 TV Channel	https://www.youtube.com/c/AraratTv/about	108000	79570033
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59544099
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	68500	32972215
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	22472889
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	137000	14642890
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	182294504
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	43090985
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	35000	21845912
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	131212215
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26400	14748943
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	82300	49291495
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	92000	28373375
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	95800	38325116
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	169000	136668360
iravabannet	https://www.youtube.com/user/iravabannet/about	25700	18082725
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31700	16069893
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	31700	20061521
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43700	19981905
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	124000	93607497
Tv9 am	https://www.youtube.com/c/Tv9am/about	77100	19208122
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	42800	20624173
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	74600	34410909
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33300	10188751
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	39000	9101342
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	31200	17701505
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	52500	11847835
Tert. am	https://www.youtube.com/user/tertamarmenia/about	49900	44193638
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	39500	12279467
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	122000	69652663
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51900	29105781
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	71400	95577112
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	41700	15369977
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	81300	1957652
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	18400	7267547
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	30900	21805059
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	12300	5829509
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	69500	39823168
Vardan Hakobyan	https://www.youtube.com/c/VardanHakobyan/about	10700	1890076
Խոսենք Փաստերով TV	https://www.youtube.com/channel/UCZuKdeF9yfOjZ0J7AbBUOAw/about	5950	1745453
HetqTV	https://www.youtube.com/user/HetqTV/about	29600	19903991
Artsakh Public TV	https://www.youtube.com/channel/UC0bE8sdgd54oJBscXJfupCw/about	35600	23216502
Yerevan Today Live	https://www.youtube.com/c/YerevanTodayNews/about	27500	21192998
Hraparak TV	https://www.youtube.com/c/Hraparakdaily/about	35400	30942273
Աննա Աբրահամյան Իմ Հայաստան created DON DREAM	https://www.youtube.com/channel/UCuuqSVCWfMlwlwlfXSLIfKg/about	unknown subscriber count	2730184
Yerkir Media - News	https://www.youtube.com/user/YerkirmediaTV/about	37200	32861940
Yerkir Media Հաղորդումներ	https://www.youtube.com/channel/UCLqMTOyTNRVzavjJwZlFSvQ/about	7520	1502058
MenqHayenq Production	https://www.youtube.com/channel/UCUfcIB5azeiUD2egV7p7FEQ/about	64600	14236719
ԼՐԱՏՎԱԿԱՆ ՌԱԴԻՈ FM106.5	https://www.youtube.com/channel/UCaJCNkhSa84QcuOSoM2WfcA/about	41000	22859269
Repat Riarch	https://www.youtube.com/c/RepatRiarch_official/about	39600	4822763
New Channel tv	https://www.youtube.com/channel/UCDOG_qfxSvI-Dv1tkGpo8Dw/about	73500	36898684
HorizonArmenianTV	https://www.youtube.com/user/HorizonArmenianTV/about	24500	8963427
ARM GOOD INFO	https://www.youtube.com/channel/UCenBDno0RFwOg23Kr00kJVg/about	83300	19025027
Politik. am	https://www.youtube.com/c/Politikam2021/about	22100	7393162
armtimes.com	https://www.youtube.com/c/ArmtimesNewspaper/about	33800	34043028
Styop Grigoryan	https://www.youtube.com/user/123pepush/about	18100	9128007
AsekoseTV	https://www.youtube.com/channel/UCmsV3ead5PvSJwp6M6vik-A/about	28900	20351101
Aysor TV	https://www.youtube.com/user/AysorTV/about	22000	14367824
