name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	217000	240941783
a1Plus	https://www.youtube.com/c/a1plus/about	175000	206166435
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	675000	852718150
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	199446635
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	118000	102120670
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	60039668
24TV	https://www.youtube.com/c/24TVArmenia/about	157000	161282884
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	153000	98999266
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	285000	368545085
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	141000	91203415
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3510	4375537
1in.am	https://www.youtube.com/c/1inam/about	157000	151421232
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	73000	73702859
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	120000	39062858
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	109000	94115806
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	474000	347249856
5 TV Channel	https://www.youtube.com/c/AraratTv/about	105000	77464176
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59404826
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	66600	31455131
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	21747718
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	134000	11654435
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	197000	181541460
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	124000	42635113
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	32800	19856636
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	130477709
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14655010
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	81400	48741539
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	91000	27296052
