name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	215000	237907547
a1Plus	https://www.youtube.com/c/a1plus/about	175000	205499034
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	674000	848104058
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	194374491
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	117000	99735380
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	57848316
24TV	https://www.youtube.com/c/24TVArmenia/about	157000	160011215
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	152000	97653971
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	285000	366964219
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	140000	90431221
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3490	4353225
1in.am	https://www.youtube.com/c/1inam/about	157000	151354943
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	72100	71970335
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	120000	38231128
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	109000	93444126
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	471000	344417080
5 TV Channel	https://www.youtube.com/c/AraratTv/about	105000	76586923
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59216125
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	66000	30644970
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	21322287
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	133000	9826661
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	197000	180918561
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	123000	41758966
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	31700	18612285
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	129904274
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14631049
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	81100	48350697
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	90100	26139811
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	95100	37740636
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	166000	135098846
iravabannet	https://www.youtube.com/user/iravabannet/about	25600	17979935
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31600	15869320
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	31100	19468201
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43800	19866855
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	121000	91931141
Tv9 am	https://www.youtube.com/c/Tv9am/about	76400	11585726
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	40900	19254403
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	72300	33171286
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	32800	9844374
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	36100	7091373
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	28000	15506082
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	51600	11178644
Tert. am	https://www.youtube.com/user/tertamarmenia/about	49300	43907329
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	38300	11692586
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	115000	65184050
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51800	28949338
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	70900	95100498
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	41900	15345395
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	80100	1081493
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	17400	6758566
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	30900	22392894
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	12100	5612590
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	67900	39138998
Vardan Hakobyan	https://www.youtube.com/c/VardanHakobyan/about	10600	1854107
Խոսենք Փաստերով TV	https://www.youtube.com/channel/UCZuKdeF9yfOjZ0J7AbBUOAw/about	5970	1740360
HetqTV	https://www.youtube.com/user/HetqTV/about	29000	19657302
Artsakh Public TV	https://www.youtube.com/channel/UC0bE8sdgd54oJBscXJfupCw/about	35300	23136077
Yerevan Today Live	https://www.youtube.com/c/YerevanTodayNews/about	27500	21117846
Hraparak TV	https://www.youtube.com/c/Hraparakdaily/about	35300	30569412
Աննա Աբրահամյան Իմ Հայաստան created DON DREAM	https://www.youtube.com/channel/UCuuqSVCWfMlwlwlfXSLIfKg/about	unknown subscriber count	2567985
Yerkir Media - News	https://www.youtube.com/user/YerkirmediaTV/about	37000	32753625
Yerkir Media Հաղորդումներ	https://www.youtube.com/channel/UCLqMTOyTNRVzavjJwZlFSvQ/about	7130	1367807
MenqHayenq Production	https://www.youtube.com/channel/UCUfcIB5azeiUD2egV7p7FEQ/about	64100	13988399
ԼՐԱՏՎԱԿԱՆ ՌԱԴԻՈ FM106.5	https://www.youtube.com/channel/UCaJCNkhSa84QcuOSoM2WfcA/about	40100	22589046
Repat Riarch	https://www.youtube.com/c/RepatRiarch_official/about	39600	4855962
New Channel tv	https://www.youtube.com/channel/UCDOG_qfxSvI-Dv1tkGpo8Dw/about	67900	30293345
HorizonArmenianTV	https://www.youtube.com/user/HorizonArmenianTV/about	24000	8825001
ARM GOOD INFO	https://www.youtube.com/channel/UCenBDno0RFwOg23Kr00kJVg/about	83200	18890837
Politik. am	https://www.youtube.com/c/Politikam2021/about	20300	6338219
armtimes.com	https://www.youtube.com/c/ArmtimesNewspaper/about	33700	33954641
Styop Grigoryan	https://www.youtube.com/user/123pepush/about	17800	8920110
AsekoseTV	https://www.youtube.com/channel/UCmsV3ead5PvSJwp6M6vik-A/about	28800	20302965
Aysor TV	https://www.youtube.com/user/AysorTV/about	21900	14318791
