name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	219000	245820709
a1Plus	https://www.youtube.com/c/a1plus/about	176000	207792152
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	681000	865930607
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	211627950
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	123000	109255583
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	63450513
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	162655618
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	154000	101213250
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	372643197
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	144000	93296533
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3610	4547109
1in.am	https://www.youtube.com/c/1inam/about	157000	151580056
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	76500	79150475
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	123000	41944401
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	111000	96104705
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	479000	352020363
5 TV Channel	https://www.youtube.com/c/AraratTv/about	109000	80887525
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59574289
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	69700	34107245
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	22885533
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	137000	15325618
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	182622139
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	43186605
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	35500	22871979
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	131648183
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26500	14946668
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	82400	49453538
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	92100	28686720
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	96000	38515372
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	169000	137144911
iravabannet	https://www.youtube.com/user/iravabannet/about	25700	18133663
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31700	16123510
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	31800	20186870
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43600	20018245
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	124000	93847225
Tv9 am	https://www.youtube.com/c/Tv9am/about	77200	19309833
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	43200	21100626
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	74800	34719773
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33400	10244053
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	40200	10025217
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	31500	18267082
