name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	218000	243035112
a1Plus	https://www.youtube.com/c/a1plus/about	175000	206483697
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	677000	856049901
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	202512954
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	120000	104900311
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	61237189
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	161592639
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	153000	99513059
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	369445794
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	142000	91721411
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3530	4397925
1in.am	https://www.youtube.com/c/1inam/about	157000	151467858
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	73700	74918972
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	121000	39875938
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	110000	94785184
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	476000	348715249
5 TV Channel	https://www.youtube.com/c/AraratTv/about	106000	78189839
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59495771
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	67100	31917326
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	22113285
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	135000	13274863
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	181860431
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	42927503
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	33600	20707339
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	130816726
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14671923
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	81900	48992141
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	91100	27540691
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	95500	38127049
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	168000	136038878
iravabannet	https://www.youtube.com/user/iravabannet/about	25700	18067487
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31700	16017695
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	31500	19846967
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43700	19939706
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	123000	93009026
Tv9 am	https://www.youtube.com/c/Tv9am/about	76900	11862759
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	42200	20218899
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	73600	33910713
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33100	10089247
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	37600	8197326
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	30100	16930738
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	52100	11621720
Tert. am	https://www.youtube.com/user/tertamarmenia/about	49700	44092341
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	39000	12040350
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	118000	67241868
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51900	29066388
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	71200	95421036
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	41800	15358220
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	80400	1446758
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	18100	7118486
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	30900	21763272
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	12300	5752726
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	68500	39428514
Vardan Hakobyan	https://www.youtube.com/c/VardanHakobyan/about	10700	1886466
Խոսենք Փաստերով TV	https://www.youtube.com/channel/UCZuKdeF9yfOjZ0J7AbBUOAw/about	5960	1743940
HetqTV	https://www.youtube.com/user/HetqTV/about	29300	19826857
Artsakh Public TV	https://www.youtube.com/channel/UC0bE8sdgd54oJBscXJfupCw/about	35500	23192799
Yerevan Today Live	https://www.youtube.com/c/YerevanTodayNews/about	27500	21168008
Hraparak TV	https://www.youtube.com/c/Hraparakdaily/about	35400	30863387
Աննա Աբրահամյան Իմ Հայաստան created DON DREAM	https://www.youtube.com/channel/UCuuqSVCWfMlwlwlfXSLIfKg/about	unknown subscriber count	2660850
Yerkir Media - News	https://www.youtube.com/user/YerkirmediaTV/about	37100	32823651
Yerkir Media Հաղորդումներ	https://www.youtube.com/channel/UCLqMTOyTNRVzavjJwZlFSvQ/about	7380	1462070
MenqHayenq Production	https://www.youtube.com/channel/UCUfcIB5azeiUD2egV7p7FEQ/about	64600	14203257
ԼՐԱՏՎԱԿԱՆ ՌԱԴԻՈ FM106.5	https://www.youtube.com/channel/UCaJCNkhSa84QcuOSoM2WfcA/about	40400	22750106
Repat Riarch	https://www.youtube.com/c/RepatRiarch_official/about	39500	4796033
New Channel tv	https://www.youtube.com/channel/UCDOG_qfxSvI-Dv1tkGpo8Dw/about	71600	35132151
HorizonArmenianTV	https://www.youtube.com/user/HorizonArmenianTV/about	24400	8939622
ARM GOOD INFO	https://www.youtube.com/channel/UCenBDno0RFwOg23Kr00kJVg/about	83300	18972010
Politik. am	https://www.youtube.com/c/Politikam2021/about	21000	6893799
armtimes.com	https://www.youtube.com/c/ArmtimesNewspaper/about	33800	34030528
Styop Grigoryan	https://www.youtube.com/user/123pepush/about	18000	9095703
AsekoseTV	https://www.youtube.com/channel/UCmsV3ead5PvSJwp6M6vik-A/about	28900	20325047
Aysor TV	https://www.youtube.com/user/AysorTV/about	21900	14342194
