name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	219000	246897898
a1Plus	https://www.youtube.com/c/a1plus/about	176000	208483778
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	683000	870324723
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	215534324
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	125000	112615733
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	64882671
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	163101670
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	154000	101737992
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	373744183
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	144000	93846446
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3620	4578278
1in.am	https://www.youtube.com/c/1inam/about	157000	151652718
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	77500	80911907
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	125000	43554916
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	111000	96409633
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	481000	353570206
5 TV Channel	https://www.youtube.com/c/AraratTv/about	110000	82255043
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59617749
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	71000	35308725
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	23445070
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	138000	15662217
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	183015823
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	43298993
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	37400	24003110
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	132091164
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26700	15051454
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	82700	49684201
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	92100	28784591
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	96700	38825975
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	170000	137804369
iravabannet	https://www.youtube.com/user/iravabannet/about	25700	18166209
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31800	16188641
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	32300	20462192
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43600	20062477
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	125000	94193146
Tv9 am	https://www.youtube.com/c/Tv9am/about	77500	19505473
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	44000	21650399
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	75200	35039695
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33500	10310931
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	41200	10867798
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	32400	19047920
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	53700	12264044
Tert. am	https://www.youtube.com/user/tertamarmenia/about	50100	44307957
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	39900	12560343
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	126000	73248703
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51900	29191531
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	71700	95909884
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	41700	15420797
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	81800	2640322
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	18700	7420611
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	31000	21867442
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	12400	5930997
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	69800	40137453
