name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	216000	240324747
a1Plus	https://www.youtube.com/c/a1plus/about	175000	206075428
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	675000	851874706
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	198541817
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	118000	101510761
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	59672188
24TV	https://www.youtube.com/c/24TVArmenia/about	157000	161089100
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	152000	98798848
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	285000	368264024
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	141000	91073397
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3500	4375475
1in.am	https://www.youtube.com/c/1inam/about	157000	151411349
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	72800	73384619
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	120000	38904625
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	109000	93985601
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	474000	346770055
5 TV Channel	https://www.youtube.com/c/AraratTv/about	105000	77273979
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59378699
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	66600	31369948
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	21664554
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	134000	11241299
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	197000	181466330
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	124000	42510747
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	32600	19639917
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	130399826
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14652478
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	81400	48673476
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	90900	27190968
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	95300	37954494
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	167000	135583262
iravabannet	https://www.youtube.com/user/iravabannet/about	25600	18038980
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31700	15955102
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	31300	19645877
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43700	19900520
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	122000	92299068
Tv9 am	https://www.youtube.com/c/Tv9am/about	76600	11709523
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	41300	19640706
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	72800	33521594
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33000	9968278
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	36800	7628403
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	28700	16044320
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	51800	11418323
Tert. am	https://www.youtube.com/user/tertamarmenia/about	49500	44001916
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	38700	11876598
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	116000	66117337
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51800	29023132
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	71100	95254527
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	41900	15355396
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	80200	1237366
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	17800	6973913
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	30900	21722430
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	12200	5701426
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	68000	39248858
Vardan Hakobyan	https://www.youtube.com/c/VardanHakobyan/about	10700	1868139
Խոսենք Փաստերով TV	https://www.youtube.com/channel/UCZuKdeF9yfOjZ0J7AbBUOAw/about	5970	1742332
HetqTV	https://www.youtube.com/user/HetqTV/about	29200	19737459
Artsakh Public TV	https://www.youtube.com/channel/UC0bE8sdgd54oJBscXJfupCw/about	35400	23164217
Yerevan Today Live	https://www.youtube.com/c/YerevanTodayNews/about	27500	21141943
Hraparak TV	https://www.youtube.com/c/Hraparakdaily/about	35400	30769263
Աննա Աբրահամյան Իմ Հայաստան created DON DREAM	https://www.youtube.com/channel/UCuuqSVCWfMlwlwlfXSLIfKg/about	unknown subscriber count	2606339
Yerkir Media - News	https://www.youtube.com/user/YerkirmediaTV/about	37000	32790012
Yerkir Media Հաղորդումներ	https://www.youtube.com/channel/UCLqMTOyTNRVzavjJwZlFSvQ/about	7240	1416039
MenqHayenq Production	https://www.youtube.com/channel/UCUfcIB5azeiUD2egV7p7FEQ/about	64500	14144060
ԼՐԱՏՎԱԿԱՆ ՌԱԴԻՈ FM106.5	https://www.youtube.com/channel/UCaJCNkhSa84QcuOSoM2WfcA/about	40200	22665634
Repat Riarch	https://www.youtube.com/c/RepatRiarch_official/about	39500	4793682
New Channel tv	https://www.youtube.com/channel/UCDOG_qfxSvI-Dv1tkGpo8Dw/about	70000	32587214
HorizonArmenianTV	https://www.youtube.com/user/HorizonArmenianTV/about	24300	8908772
ARM GOOD INFO	https://www.youtube.com/channel/UCenBDno0RFwOg23Kr00kJVg/about	83200	18939023
Politik. am	https://www.youtube.com/c/Politikam2021/about	20700	6654298
armtimes.com	https://www.youtube.com/c/ArmtimesNewspaper/about	33800	33992131
Styop Grigoryan	https://www.youtube.com/user/123pepush/about	18000	9026420
AsekoseTV	https://www.youtube.com/channel/UCmsV3ead5PvSJwp6M6vik-A/about	28900	20322656
Aysor TV	https://www.youtube.com/user/AysorTV/about	21900	14329458
