name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	218000	243754953
a1Plus	https://www.youtube.com/c/a1plus/about	175000	206689473
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	678000	857368148
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	204301951
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	120000	105360304
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	61565488
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	161777809
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	153000	99822875
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	369996317
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	142000	91985471
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3550	4425928
1in.am	https://www.youtube.com/c/1inam/about	157000	151481981
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	74000	75559495
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	122000	39993350
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	110000	95001045
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	476000	349094001
5 TV Channel	https://www.youtube.com/c/AraratTv/about	107000	78453304
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59502211
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	67400	32189509
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	22202273
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	136000	13575724
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	181982878
