Yerkir Media - News	https://www.youtube.com/user/YerkirmediaTV/about	36800	32655361
Yerkir Media Հաղորդումներ	https://www.youtube.com/channel/UCLqMTOyTNRVzavjJwZlFSvQ/about	6880	1261995
MenqHayenq Production	https://www.youtube.com/channel/UCUfcIB5azeiUD2egV7p7FEQ/about	61100	15060886
ԼՐԱՏՎԱԿԱՆ ՌԱԴԻՈ FM106.5	https://www.youtube.com/channel/UCaJCNkhSa84QcuOSoM2WfcA/about	39600	22422087
Repat Riarch	https://www.youtube.com/c/RepatRiarch_official/about	39300	4882680
New Channel tv	https://www.youtube.com/channel/UCDOG_qfxSvI-Dv1tkGpo8Dw/about	63600	26269218
HorizonArmenianTV	https://www.youtube.com/user/HorizonArmenianTV/about	23700	8735491
ARM GOOD INFO	https://www.youtube.com/channel/UCenBDno0RFwOg23Kr00kJVg/about	82500	18614674
Politik. am	https://www.youtube.com/c/Politikam2021/about	18300	5194005
armtimes.com	https://www.youtube.com/c/ArmtimesNewspaper/about	33500	33756637
Styop Grigoryan	https://www.youtube.com/user/123pepush/about	17500	8604545
AsekoseTV	https://www.youtube.com/channel/UCmsV3ead5PvSJwp6M6vik-A/about	28700	20224991
Aysor TV	https://www.youtube.com/user/AysorTV/about	21900	14277670
