name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	212000	232356525
a1Plus	https://www.youtube.com/c/a1plus/about	173000	203678740
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	672000	841771977
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	188753070
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	115000	95924656
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	53302249
24TV	https://www.youtube.com/c/24TVArmenia/about	155000	157276892
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	151000	94889433
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	284000	364423403
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	140000	89655423
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3460	4306900
1in.am	https://www.youtube.com/c/1inam/about	157000	151275439
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	70000	68207586
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	119000	37564571
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	108000	92536471
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	465000	339804594
5 TV Channel	https://www.youtube.com/c/AraratTv/about	104000	75207509
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	58928965
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	62200	27887381
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	20808120
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	132000	8278520
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	197000	180066780
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	122000	40019515
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	30400	17247142
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	132000	128941626
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14594853
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	80700	47934012
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	88000	24460839
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	94800	37552975
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	164000	133705599
iravabannet	https://www.youtube.com/user/iravabannet/about	25500	17900200
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31500	15679782
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	30800	19113608
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43800	19807126
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	120000	91425495
Tv9 am	https://www.youtube.com/c/Tv9am/about	76200	11491535
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	40600	18647453
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	71500	32735447
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	32400	9971744
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	35500	6711009
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	27500	14917650
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	50800	10821751
Tert. am	https://www.youtube.com/user/tertamarmenia/about	48800	43535966
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	37500	11239454
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	114000	64042164
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51700	28808403
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	70800	94900411
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	42000	15329357
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	80000	999254
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	16100	6277854
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	30900	22391099
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	11800	5441308
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	67700	38976727
Vardan Hakobyan	https://www.youtube.com/c/VardanHakobyan/about	10600	1836875
Խոսենք Փաստերով TV	https://www.youtube.com/channel/UCZuKdeF9yfOjZ0J7AbBUOAw/about	5970	1735377
HetqTV	https://www.youtube.com/user/HetqTV/about	28800	19516799
Artsakh Public TV	https://www.youtube.com/channel/UC0bE8sdgd54oJBscXJfupCw/about	35200	23092876
Yerevan Today Live	https://www.youtube.com/c/YerevanTodayNews/about	27400	21059012
Hraparak TV	https://www.youtube.com/c/Hraparakdaily/about	34700	30253455
