name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	219000	246350977
a1Plus	https://www.youtube.com/c/a1plus/about	176000	208219190
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	682000	868501687
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	213738019
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	124000	111015764
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	64179298
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	162907172
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	154000	101552770
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	373281881
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	144000	93599444
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3610	4569082
1in.am	https://www.youtube.com/c/1inam/about	157000	151620491
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	77200	80220280
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	124000	42827515
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	111000	96491323
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	480000	352843842
5 TV Channel	https://www.youtube.com/c/AraratTv/about	109000	81619285
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59604626
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	70500	34845515
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	23237902
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	138000	15561112
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	182808594
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	43248196
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	36100	23563074
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	131874139
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26600	15002305
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	82600	49568588
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	92100	28758554
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	96200	38654636
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	169000	137517140
iravabannet	https://www.youtube.com/user/iravabannet/about	25700	18154148
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31800	16158240
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	32000	20319100
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43600	20044321
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	125000	94039781
Tv9 am	https://www.youtube.com/c/Tv9am/about	77400	19413804
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	43600	21367940
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	75000	34912938
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33400	10258926
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	41000	10626217
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	32000	18639792
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	53500	12160713
Tert. am	https://www.youtube.com/user/tertamarmenia/about	50100	44290787
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	39700	12471363
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	125000	72336912
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51900	29168066
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	71600	95818828
