name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	219000	244696879
a1Plus	https://www.youtube.com/c/a1plus/about	175000	207037656
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	679000	859791417
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	207202025
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	121000	106349987
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	62135637
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	162064419
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	153000	100154925
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	370875755
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	143000	92532725
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3560	4469737
1in.am	https://www.youtube.com/c/1inam/about	157000	151512879
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	74600	76673645
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	122000	40246560
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	110000	95344550
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	477000	350029721
5 TV Channel	https://www.youtube.com/c/AraratTv/about	107000	79027225
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59532747
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	67800	32707701
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	22382396
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	136000	14246900
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	182216839
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	43064355
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	34400	21604621
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	131115926
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26200	14713281
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	82200	49212866
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	91800	28151066
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	95600	38252519
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	168000	136490319
iravabannet	https://www.youtube.com/user/iravabannet/about	25700	18076472
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31700	16057228
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	31700	20046448
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43700	19971672
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	124000	93519887
Tv9 am	https://www.youtube.com/c/Tv9am/about	77000	19149544
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	42400	20531689
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	74200	34277431
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33200	10169471
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	38600	8950343
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	30700	17485444
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	52300	11789439
Tert. am	https://www.youtube.com/user/tertamarmenia/about	49800	44173992
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	39400	12215909
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	121000	69262943
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51900	29098812
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	71300	95528629
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	41800	15363000
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	80800	1749835
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	18300	7229888
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	30900	21793921
