name	url	subscribers	views
Factor tv	http://www.youtube.com/c/Factortv/about	219000	246540552
a1Plus	https://www.youtube.com/c/a1plus/about	176000	208336618
azatutyun radio	https://www.youtube.com/c/azatutyunradio/about	682000	869261426
perfect tv	https://www.youtube.com/channel/UC8kOchMgfcXZTDtgQ67LM9Q/about	unknown subscriber count	214550556
ArmNkr News	https://www.youtube.com/channel/UCOcuOF0M-rZ5QzKTvr1J8IQ/about	125000	111760398
Vardan Ghukasyan Վարդան Ղուկասյան	https://www.youtube.com/channel/UChXhis-jyFXzMw4o9hML3vA/about	unknown subscriber count	64467322
24TV	https://www.youtube.com/c/24TVArmenia/about	158000	162990788
365daily am	https://www.youtube.com/channel/UCGOYnPqyWiPwPdlvUlfuNcQ/about	154000	101625680
NEWS AM	https://www.youtube.com/c/NewsamChannel/about	286000	373477451
STP ARM NEWS	https://www.youtube.com/c/STPmusicRAP/about	144000	93696328
ArmLur official	https://www.youtube.com/channel/UChjW08B983y0T2NvktcIjfg/about	3620	4572487
1in.am	https://www.youtube.com/c/1inam/about	157000	151634746
HAYELI AM	https://www.youtube.com/c/Hayeliam_Hayeli_Akumb/about	77300	80478973
8rd. am	https://www.youtube.com/channel/UCzQMSe3jpEVDTJa9jy9eEZA/about	125000	43151313
YELAKET / Yelaket News Agency /	https://www.youtube.com/c/YelaketNewsAgency/about	111000	96603935
Armenian Public TV	https://www.youtube.com/c/ArmenianPublicTV/about	480000	353151961
5 TV Channel	https://www.youtube.com/c/AraratTv/about	109000	81845401
SHD ARM TV	https://www.youtube.com/c/SHDARMTV/about	unknown subscriber count	59608217
amenor am	https://www.youtube.com/channel/UCfqS6YahbpwtWQRCJNOyVEw/about	70800	35079031
AREG TV	https://www.youtube.com/c/aregtv/about	unknown subscriber count	23329515
8rd news	https://www.youtube.com/channel/UC0uK3jBxj6ioFn5-XsleQKA/about	138000	15616532
Asekose am	https://www.youtube.com/user/ASEKOSEful/about	198000	182907240
ArmNews	https://www.youtube.com/user/ArmnewsTV/about	125000	43269747
ARTN TV	https://www.youtube.com/channel/UCGto6lM2ggZi4Ut4GHo31XA/about	36300	23766775
ArmLur TV	https://www.youtube.com/c/ArmLurTV/about	133000	131939118
ԼՈՒՐԵՐ Նորություններ Հայաստանից	https://www.youtube.com/user/LURERcom/about	26700	15022451
ArmeniaNow	https://www.youtube.com/c/ArmeniaNow/about	82600	49624796
SecretTube	https://www.youtube.com/channel/UCTRRvh0-lR9rPaC0nzNYFMA/about	92100	28770067
Բաց TV	https://www.youtube.com/channel/UCf2o81mWr-bZsLbq2-kOYTQ/about	96400	38746967
CIVILNET	https://www.youtube.com/c/CivilNetTV/about	170000	137620903
iravabannet	https://www.youtube.com/user/iravabannet/about	25700	18159237
AD TV	https://www.youtube.com/channel/UC8k_9xHrn82EV_oSFXBE6Cw/about	31800	16172650
Live News	https://www.youtube.com/channel/UCCllZTHrcly_pkPvb_V1ovA/about	32100	20364822
Novosti-Armenia	https://www.youtube.com/c/NovostiArmenia/about	43600	20052359
Kentron Channel	https://www.youtube.com/c/KentronChannel/about	125000	94122295
Tv9 am	https://www.youtube.com/c/Tv9am/about	77400	19462810
ԱԶԳԱՅԻՆ - ԺՈՂՈՎՐԴԱՎԱՐԱԿԱՆ ԲԵՎԵՌ	https://www.youtube.com/user/preparliament/about	43700	21471213
SHANT NEWS	https://www.youtube.com/c/SHANTNEWS/about	75100	34955203
The Yerevan Times	https://www.youtube.com/c/TheGamesWorld/about	33500	10284640
Yerevanyan Blog TV	https://www.youtube.com/c/YerevanyanBlog/about	41100	10740879
Sparta 1	https://www.youtube.com/channel/UCGxciBpj8fWpZIP805J1qVA/about	32200	18832515
Kristine Halajyan Քրիստինե Հալաջյան	https://www.youtube.com/channel/UCOKWS2GcPCEQ9VPx3Nkobcw/about	53600	12206137
Tert. am	https://www.youtube.com/user/tertamarmenia/about	50100	44298657
Suren Sargsyan	https://www.youtube.com/channel/UC-IEdDubp1Io--BquY-183g/about	39800	12504800
The Great Armenia	https://www.youtube.com/c/TheGreatArmenia/about	125000	72789740
PARATV	https://www.youtube.com/c/PARADIPLOMACYTV/about	51900	29176590
POLICE RA Vostikanutyun	https://www.youtube.com/c/Vostikanutyun/about	71600	95850518
Armenian National Network	https://www.youtube.com/c/ANNmedia/about	41700	15416614
NVO1	https://www.youtube.com/channel/UCadQz-sg0lid5bxjqPc6Olg/about	81800	2557250
Armenian Second TV Channel / h2	https://www.youtube.com/c/armh2/about	18600	7397166
Ամերիկայի Ձայն VOA Armenian	https://www.youtube.com/c/VOAArmenian/about	31000	21856736
PastinfoTV	https://www.youtube.com/user/PastinfoTV/about	12400	5906150
ArmeniaTV News	https://www.youtube.com/channel/UCTeGnM60U9qoLH7ZZDhAsSg/about	69700	40095129
Vardan Hakobyan	https://www.youtube.com/c/VardanHakobyan/about	10700	1896724
Խոսենք Փաստերով TV	https://www.youtube.com/channel/UCZuKdeF9yfOjZ0J7AbBUOAw/about	5940	1747808
HetqTV	https://www.youtube.com/user/HetqTV/about	29900	20024300
Artsakh Public TV	https://www.youtube.com/channel/UC0bE8sdgd54oJBscXJfupCw/about	35700	23253335
Yerevan Today Live	https://www.youtube.com/c/YerevanTodayNews/about	27600	21251433
Hraparak TV	https://www.youtube.com/c/Hraparakdaily/about	35500	31073197
Աննա Աբրահամյան Իմ Հայաստան created DON DREAM	https://www.youtube.com/channel/UCuuqSVCWfMlwlwlfXSLIfKg/about	unknown subscriber count	2814553
Yerkir Media - News	https://www.youtube.com/user/YerkirmediaTV/about	37300	32912233
Yerkir Media Հաղորդումներ	https://www.youtube.com/channel/UCLqMTOyTNRVzavjJwZlFSvQ/about	7620	1554582
MenqHayenq Production	https://www.youtube.com/channel/UCUfcIB5azeiUD2egV7p7FEQ/about	64800	12756590
ԼՐԱՏՎԱԿԱՆ ՌԱԴԻՈ FM106.5	https://www.youtube.com/channel/UCaJCNkhSa84QcuOSoM2WfcA/about	41400	23069909
Repat Riarch	https://www.youtube.com/c/RepatRiarch_official/about	39600	4852594
New Channel tv	https://www.youtube.com/channel/UCDOG_qfxSvI-Dv1tkGpo8Dw/about	76400	40668654
HorizonArmenianTV	https://www.youtube.com/user/HorizonArmenianTV/about	24500	9002650
ARM GOOD INFO	https://www.youtube.com/channel/UCenBDno0RFwOg23Kr00kJVg/about	83500	19127617
Politik. am	https://www.youtube.com/c/Politikam2021/about	23500	8734853
armtimes.com	https://www.youtube.com/c/ArmtimesNewspaper/about	33800	34070338
Styop Grigoryan	https://www.youtube.com/user/123pepush/about	18100	9146738
AsekoseTV	https://www.youtube.com/channel/UCmsV3ead5PvSJwp6M6vik-A/about	29000	20389108
Aysor TV	https://www.youtube.com/user/AysorTV/about	22000	14398123
